Comment,Likes,Author,Author URL,Published At
역시.. 상해연합교회 엄기영목사님까지.. 감사합니다^^,1,2젼,http://www.youtube.com/@2%EC%A0%BC,2021-02-26T16:39:20Z
요즘에 이렇게 순수하싯 목사님이 계시나요?<br>너무도 순수하시고<br>깨끗한 심령에 주님은 임재하시는거 같아요<br>너무도 부럽습니다,1,marycho9672,http://www.youtube.com/@marycho9672,2021-01-11T14:24:07Z
윤치영목산님말씀너무좋아여,1,jung3441,http://www.youtube.com/@jung3441,2021-02-28T12:35:58Z
그냥~눈물만납니다~~하나님~,1,smk3972,http://www.youtube.com/@smk3972,2021-01-15T04:27:53Z
제가항상힘들때네기도들으신분그리고찬양하기합당분🥰,1,임지훈-x6j,http://www.youtube.com/@%EC%9E%84%EC%A7%80%ED%9B%88-x6j,2021-01-02T04:51:45Z
👍✌👏💪,1,hwangjin79,http://www.youtube.com/@hwangjin79,2021-05-22T07:23:08Z
한국교회 분발,1,박성식-w7,http://www.youtube.com/@%EB%B0%95%EC%84%B1%EC%8B%9D-w7,2021-01-02T02:16:21Z
윤치영목사님 간증듣고나서 윤치영목사님 십자가설교등모든설교듣고십자가의사랑과하나님아버지사랑을제대로깨닫게되었답니다 주님께감사드립니다,1,jang1961,http://www.youtube.com/@jang1961,2021-01-15T10:03:45Z
교회연합,1,박성식-w7,http://www.youtube.com/@%EB%B0%95%EC%84%B1%EC%8B%9D-w7,2021-01-02T02:16:01Z
♥  주님요 놀라운 실감 은혜 받아심더 <br>♥할렐루야   아  아멘,1,김송월-u7t,http://www.youtube.com/@%EA%B9%80%EC%86%A1%EC%9B%94-u7t,2021-02-28T12:50:09Z
♥♥♥<br>지금 까지  살아 옴도  또 미래  삶도 주인 나의  아바 아버지요<br>지켜 주심을  100% 믿습니다 <br>♥아멘♥,1,김송월-u7t,http://www.youtube.com/@%EA%B9%80%EC%86%A1%EC%9B%94-u7t,2021-02-28T12:54:26Z
코로나로 인해 중국을 비난했는데 주님과 중국 친구들의 용서를 빕니다. 부디 중국에 아픈 사람들이 하나님의 기적으로 일어서기를 기도합니다.,1,김보배-v7s,http://www.youtube.com/@%EA%B9%80%EB%B3%B4%EB%B0%B0-v7s,2021-01-16T06:02:21Z
간증도 간증이지만.... 3일만에 3kg 감량이라니 정말 대단하시네요........... 레전드.... 난 이거 보는 동안에도 초콜릿 까묵고 있는뎀,1,user_offline_3v,http://www.youtube.com/@user_offline_3v,2021-01-01T12:05:24Z
살아계신하나님의 역사를 생생하게 들려주심 너무너무 감사드리며 귀하시고귀하십니다,1,오미숙-o3d,http://www.youtube.com/@%EC%98%A4%EB%AF%B8%EC%88%99-o3d,2021-01-01T01:52:47Z
목사님. 요즘 우리나라에 귀신들이 <br>판을치고 유투부에 대 놓고  모든 영혼들을 유혹하고 있습니다<br>우리 나라 귀신을 섬기는 자들이 정신 차리도록 기도좀 해주세요 🙏,1,남태평-p9d,http://www.youtube.com/@%EB%82%A8%ED%83%9C%ED%8F%89-p9d,2020-12-26T21:48:07Z
머리 로는 하님께서 하심을 믿지만<br>마음은 2%가 부족함을 어찌해야할지..,1,ggfyttfc,http://www.youtube.com/@ggfyttfc,2021-01-05T10:20:19Z
선교사님 너무 귀하십니다.^^<br>하나님을 의해 헌신하는모습 은혜가 되었습니다.<br>시간이 너무 짧다는 생각이 들었네요.<br>진행자분들도 애쓰셨어요~~,1,시냇가에심은나무-i4x,http://www.youtube.com/@%EC%8B%9C%EB%83%87%EA%B0%80%EC%97%90%EC%8B%AC%EC%9D%80%EB%82%98%EB%AC%B4-i4x,2020-12-25T10:23:22Z
